Time [s],Value,Parity Error,Framing Error
1.3345711875,0x17,,
1.33458125,0x05,,
1.33459125,0x03,,
1.33460125,0x1E,,
1.33461125,0x67,,
1.33462125,0x02,,
1.33463125,0x59,,
1.3353714375,0xFF,,
1.3353814375,0xFF,,
1.3353914375,0x12,,
1.3354014375,0x05,,
1.3354114375,0x03,,
1.3354214375,0x1E,,
1.3354314375,0xD4,,
1.3354415,0x02,,
1.3354515,0xF1,,
1.336037125,0xFF,,
1.336047125,0xFF,,
1.336057125,0x10,,
1.336067125,0x05,,
1.336077125,0x03,,
1.3360871875,0x1E,,
1.3360971875,0x00,,
1.3361071875,0x02,,
1.3361171875,0xC7,,
1.33665675,0xFF,,
1.33666675,0xFF,,
1.33667675,0x23,,
1.33668675,0x04,,
1.33669675,0x03,,
1.33670675,0x20,,
1.33671675,0x00,,
1.3367268125,0xB5,,
1.3761775,0xFF,,
1.3761875,0xFF,,
1.3761975,0x01,,
1.3762075,0x05,,
1.3762175,0x03,,
1.3762275,0x1E,,
1.3762375,0xF5,,
1.3762475,0x01,,
1.3762575,0xE2,,
1.381099375,0xFF,,
1.381109375,0xFF,,
1.381119375,0x02,,
1.381129375,0x05,,
1.381139375,0x03,,
1.381149375,0x1E,,
1.381159375,0xE9,,
1.381169375,0x01,,
1.381179375,0xED,,
1.3861105,0xFF,,
1.3861205,0xFF,,
1.3861305625,0x03,,
1.3861405625,0x05,,
1.3861505625,0x03,,
1.3861605625,0x1E,,
1.3861705625,0x1F,,
1.3861805625,0x02,,
1.3861905625,0xB5,,
1.3911153125,0xFF,,
1.3911253125,0xFF,,
1.3911353125,0x04,,
1.3911453125,0x05,,
1.3911553125,0x03,,
1.391165375,0x1E,,
1.391175375,0x13,,
1.391185375,0x02,,
1.391195375,0xC0,,
1.39308675,0xFF,,
1.3930968125,0xFF,,
1.3931068125,0x17,,
1.3931168125,0x05,,
1.3931268125,0x03,,
1.3931368125,0x1E,,
1.3931468125,0x67,,
1.3931568125,0x02,,
1.3931668125,0x59,,
1.393731875,0xFF,,
1.3937419375,0xFF,,
1.3937519375,0x12,,
1.3937619375,0x05,,
1.3937719375,0x03,,
1.3937819375,0x1E,,
1.3937919375,0xD4,,
1.3938019375,0x02,,
1.3938119375,0xF1,,
1.3943770625,0xFF,,
1.3943870625,0xFF,,
1.3943970625,0x10,,
1.3944070625,0x05,,
1.3944170625,0x03,,
1.3944270625,0x1E,,
1.3944370625,0x00,,
1.3944470625,0x02,,
1.3944570625,0xC7,,
1.394983875,0xFF,,
1.394993875,0xFF,,
1.395003875,0x23,,
1.395013875,0x04,,
1.3950239375,0x03,,
1.3950339375,0x20,,
1.3950439375,0xFF,,
1.3950539375,0xB6,,
1.4343306875,0xFF,,
1.4343406875,0xFF,,
1.43435075,0x01,,
1.43436075,0x05,,
1.43437075,0x03,,
1.43438075,0x1E,,
1.43439075,0xF6,,
1.43440075,0x01,,
1.43441075,0xE1,,
1.439432625,0xFF,,
1.439442625,0xFF,,
1.439452625,0x02,,
1.439462625,0x05,,
1.439472625,0x03,,
1.439482625,0x1E,,
1.4394926875,0xEA,,
1.4395026875,0x01,,
1.4395126875,0xEC,,
1.44478125,0xFF,,
1.44479125,0xFF,,
1.44480125,0x03,,
1.44481125,0x05,,
1.44482125,0x03,,
1.44483125,0x1E,,
1.44484125,0x21,,
1.4448513125,0x02,,
1.4448613125,0xB3,,
1.4468561875,0xFF,,
1.4468661875,0xFF,,
1.4468761875,0x04,,
1.44688625,0x05,,
1.44689625,0x03,,
1.44690625,0x1E,,
1.44691625,0x14,,
1.44692625,0x02,,
1.44693625,0xBF,,
1.4476495,0xFF,,
1.4476595,0xFF,,
1.4476695,0x17,,
1.4476795,0x05,,
